iter	Passed	Remaining
539	9818	17454
540	9830	17425
541	9841	17395
542	9854	17367
543	9866	17339
544	9882	17316
545	9894	17287
546	9908	17263
547	9924	17240
548	9938	17215
549	9952	17190
550	9963	17160
551	9976	17132
552	9988	17105
553	10002	17079
554	10017	17057
555	10033	17035
556	10051	17017
557	10068	16997
558	10081	16970
559	10094	16945
560	10107	16918
561	10120	16891
562	10131	16862
563	10144	16835
564	10157	16809
565	10169	16780
566	10181	16754
567	10192	16724
568	10205	16698
569	10217	16670
570	10230	16644
571	10241	16616
572	10253	16587
573	10271	16570
574	10284	16544
575	10298	16520
576	10311	16495
577	10325	16470
578	10343	16453
579	10358	16431
580	10373	16408
581	10385	16380
582	10401	16361
583	10414	16335
584	10429	16312
585	10443	16288
586	10460	16269
587	10479	16253
588	10500	16241
589	10529	16240
590	10546	16221
591	10561	16198
592	10576	16177
593	10600	16168
594	10622	16156
595	10641	16140
596	10659	16123
597	10674	16100
598	10688	16077
599	10704	16056
600	10719	16035
601	10738	16018
602	10754	15997
603	10768	15974
604	10780	15947
605	10791	15920
606	10806	15898
607	10819	15873
608	10833	15850
609	10851	15832
610	10865	15808
611	10882	15790
612	10899	15770
613	10911	15745
614	10923	15719
615	10936	15694
616	10951	15672
617	10963	15647
618	10980	15627
619	10994	15605
620	11007	15580
621	11020	15556
622	11034	15533
623	11048	15509
624	11065	15491
625	11078	15467
626	11093	15446
627	11106	15421
628	11124	15404
629	11138	15381
630	11151	15357
631	11166	15336
632	11182	15316
633	11201	15300
634	11217	15280
635	11230	15256
636	11245	15234
637	11258	15210
638	11276	15193
639	11289	15170
640	11303	15147
641	11318	15126
642	11332	15104
643	11347	15083
644	11360	15059
645	11373	15035
646	11386	15011
647	11400	14989
648	11413	14965
649	11428	14945
650	11441	14921
651	11454	14898
652	11469	14876
653	11482	14853
654	11496	14831
655	11512	14811
656	11526	14789
657	11541	14769
658	11555	14747
659	11568	14723
660	11583	14703
661	11598	14681
662	11610	14657
663	11623	14634
664	11638	14614
665	11652	14592
666	11671	14575
667	11683	14551
668	11695	14527
669	11707	14502
670	11717	14476
671	11730	14453
672	11744	14431
673	11758	14410
674	11771	14387
675	11787	14368
676	11799	14344
677	11811	14320
678	11823	14296
