STAT_ID,Latitude,Longitude,geometry,sc,ss,su,mt,va,vb,vi,pa,pb,pi,GLC_Artificial,GLC_Managed,GLC_Water,GLC_Aquatic_Veg,GLC_PERC_COV,Popdens_00,Soil_pH,SOC,Soil_wetness
400047,-26.56,29.15,POINT (29.15 -26.56),0.0,0.25,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.57,0.25,0.01,0.0,100.0,15.67,7.65,4.43,59.56
400050,-26.47,28.99,POINT (28.99 -26.47),0.0,0.32,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,100.0,125.88,7.05,4.17,55.5
400051,-26.5,29.01,POINT (29.01 -26.5),0.0,0.36,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.6,0.0003033981,0.0,100.0,117.28,7.07,4.18,55.77
400052,-26.45,29.08,POINT (29.08 -26.45),0.0,0.02,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,100.0,99.33,7.24,4.29,58.64
400053,-26.46,29.07,POINT (29.07 -26.46),0.0,0.11,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.09,0.3,0.02,0.0,100.0,172.38,7.24,4.29,58.64
400054,-26.51,29.15,POINT (29.15 -26.51),0.0,0.31,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.54,0.05,0.0,0.0,100.0,405.27,7.46,4.36,59.12
400055,-26.49,29.17,POINT (29.17 -26.49),0.0,0.27,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.08,0.14,0.0,0.0,100.0,114.31,7.24,4.29,58.64
400057,-26.55,29.07,POINT (29.07 -26.55),0.0,0.45,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.41,0.36,0.02,0.0,100.0,166.57,7.62,4.42,59.49
400059,-26.5,29.05,POINT (29.05 -26.5),0.0,0.34,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.04,0.37,0.01,0.0,100.0,188.09,7.27,4.3,58.72
400060,-24.12,29.0,POINT (29 -24.12),0.04,2.3802103634727e-05,0.0,0.15,0.0,0.08,0.0,0.68,0.03,0.0,0.0,0.48,0.0,0.0,100.0,16.42,6.74,3.99,34.37
400061,-24.13,28.96,POINT (28.96 -24.13),0.06,0.0074438174720139,0.0,0.14,0.0,0.07,0.0,0.63,0.07,0.0,0.007711039,0.48,0.0,0.0,100.0,92.59,6.74,3.96,33.96
400062,-24.03,28.9,POINT (28.9 -24.03),0.05,0.0,0.0,0.51,0.0,0.0,0.0,0.34,0.08,0.0,0.0,0.41,0.006613757,0.0,100.0,62.2,6.59,3.93,22.99
400063,-24.19,28.97,POINT (28.97 -24.19),0.0,0.5,0.0,0.0069789095578892,0.12,0.19,0.0,0.08,0.06,0.0,0.008461236,0.4,0.001057655,0.0,100.0,18.49,6.77,3.17,23.34
