STAT_ID,Latitude,Longitude,geometry
400240,-24.86,30.56,POINT (30.56 -24.86)
400241,-24.88,30.75,POINT (30.75 -24.88)
400242,-24.9,30.74,POINT (30.74 -24.9)
400243,-24.88,30.76,POINT (30.76 -24.88)
400244,-25.0,30.49,POINT (30.49 -25)
400245,-24.3,29.56,POINT (29.56 -24.3)
400246,-24.53,29.58,POINT (29.58 -24.53)
400247,-24.77,29.42,POINT (29.42 -24.77)
400248,-25.46,30.95,POINT (30.95 -25.46)
400249,-24.43,29.74,POINT (29.74 -24.43)
400250,-24.49,29.56,POINT (29.56 -24.49)
400251,-24.25,29.8,POINT (29.8 -24.25)
400252,-24.4,30.08,POINT (30.08 -24.4)
400253,-24.65,30.3,POINT (30.3 -24.65)
400254,-24.84,30.08,POINT (30.08 -24.84)
400255,-24.96,29.95,POINT (29.95 -24.96)
400256,-25.09,29.86,POINT (29.86 -25.09)
400257,-24.9,30.1,POINT (30.1 -24.9)
400258,-25.06,30.44,POINT (30.44 -25.06)
400259,-25.59,30.07,POINT (30.07 -25.59)
400260,-25.43,29.85,POINT (29.85 -25.43)
400261,-25.39,29.82,POINT (29.82 -25.39)
400262,-25.35,29.86,POINT (29.86 -25.35)
400263,-24.71,30.19,POINT (30.19 -24.71)
400264,-24.71,30.2,POINT (30.2 -24.71)
400265,-25.18,29.93,POINT (29.93 -25.18)
400266,-25.18,29.93,POINT (29.93 -25.18)
400267,-22.89,30.5,POINT (30.5 -22.89)
400268,-32.8,27.46,POINT (27.46 -32.8)
400272,-33.81,18.78,POINT (18.78 -33.81)
400273,-33.77,18.72,POINT (18.72 -33.77)
400274,-33.76,18.71,POINT (18.71 -33.76)
400275,-33.71,18.71,POINT (18.71 -33.71)
400276,-33.7,18.7,POINT (18.7 -33.7)
400277,-33.8,18.86,POINT (18.86 -33.8)
400278,-33.47,18.8,POINT (18.8 -33.47)
400279,-33.42,18.75,POINT (18.75 -33.42)
400280,-33.46,18.72,POINT (18.72 -33.46)
400281,-33.48,18.67,POINT (18.67 -33.48)
400282,-33.57,18.64,POINT (18.64 -33.57)
400283,-33.67,18.6,POINT (18.6 -33.67)
400284,-33.68,18.61,POINT (18.61 -33.68)
400285,-33.79,18.54,POINT (18.54 -33.79)
400286,-33.55,18.61,POINT (18.61 -33.55)
400287,-33.67,18.6,POINT (18.6 -33.67)
400288,-33.83,18.52,POINT (18.52 -33.83)
400289,-33.85,18.49,POINT (18.49 -33.85)
400290,-33.97,18.83,POINT (18.83 -33.97)
400291,-26.14,27.67,POINT (27.67 -26.14)
400292,-25.78,27.76,POINT (27.76 -25.78)
400299,-26.07,27.72,POINT (27.72 -26.07)
400303,-26.01,27.83,POINT (27.83 -26.01)
400304,-32.94,27.89,POINT (27.89 -32.94)
400305,-32.96,27.91,POINT (27.91 -32.96)
400307,-26.0,27.83,POINT (27.83 -26)
400308,-26.06,27.72,POINT (27.72 -26.06)
400314,-26.51,29.9,POINT (29.9 -26.51)
400315,-26.91,29.87,POINT (29.87 -26.91)
400328,-26.77,29.92,POINT (29.92 -26.77)
400330,-33.0,27.82,POINT (27.82 -33)
400331,-26.51,29.79,POINT (29.79 -26.51)
